text;value;multipliable;limit;rank
ноль;0;0;0.25;1
один;1;0;0.25;1
два;2;0;0.34;1
три;3;0;0;1
четыре;4;0;0.34;1
пять;5;0;0.25;1
шесть;6;0;0.2;1
семь;7;0;0;1
восемь;8;0;0.34;1
девять;9;0;0.34;1
десять;10;0;0.34;1
одиннадцать;11;0;0.4;1
двенадцать;12;0;0.4;1
тринадцать;13;1;0.4;1
четырнадцать;14;0;0.4;1
пятнадцать;15;0;0.4;1
шестнадцать;16;0;0.4;1
семнадцать;17;0;0.4;1
восемнадцать;18;0;0.4;1
девятнадцать;19;0;0.4;1
двадцать;20;0;0.4;2
тридцать;30;0;0.4;2
сорок;40;0;0;2
пятьдесят;50;0;0.4;2
шестьдесят;60;0;0.4;2
семьдесят;70;0;0.4;2
восемьдесят;80;0;0.4;2
девяносто;90;0;0.4;2
сто;100;0;0;3
сотня;100;1;0.4;3
двести;200;0;0.2;3
триста;300;0;0.34;3
четыреста;400;0;0.4;3
пятьсот;500;0;0.4;3
шестьсот;600;0;0.4;3
семьсот;700;0;0.4;3
восемьсот;800;0;0.4;3
девятьсот;900;0;0.4;3
тысяча;1000;1;0.34;4
тыща;1000;1;0.25;4
миллион;1000000;1;0.43;7
миллиард;1000000000;1;0.375;10
триллион;1000000000000;1;0.375;13
;;;;
"";"";"";"";""
